Transaction Date,AMC Scheme Name,Transaction Type,Price,Units(Credits/Debits),Balance Units,Amount(Credits/Debits)
10-Feb-2020,Axis Liquid,STP Redemption,2185.21870,-1.14400,11.55500,-2500.00000
10-Jan-2020,Axis Liquid,STP Redemption,2175.71700,-1.14900,12.69900,-2500.00000
10-Dec-2019,Axis Liquid,STP Redemption,2166.03800,-1.15400,13.84800,-2500.00000
11-Nov-2019,Axis Liquid,STP Redemption,2156.86570,-1.15900,15.00200,-2500.00000
10-Oct-2019,Axis Liquid,STP Redemption,2146.71840,-1.16500,16.16100,-2500.00000
11-Sep-2019,Axis Liquid,STP Redemption,2136.98070,-1.17000,17.32600,-2500.00000
13-Aug-2019,Axis Liquid,STP Redemption,2127.26550,-1.17500,18.49600,-2500.00000
10-Jul-2019,Axis Liquid,STP Redemption,2114.28860,-1.18200,19.67100,-2500.00000
10-Jun-2019,Axis Liquid,STP Redemption,2102.60710,-1.18900,20.85300,-2500.00000
10-May-2019,Axis Liquid,STP Redemption,2089.67550,-1.19600,22.04200,-2500.00000
10-Apr-2019,Axis Liquid,STP Redemption,2077.67170,-1.20300,23.23800,-2500.00000
11-Mar-2019,Axis Liquid,STP Redemption,2064.01740,-1.21100,24.44100,-2500.00000
11-Feb-2019,Axis Liquid,STP Redemption,2053.03210,-1.21800,25.65200,-2500.00000
10-Jan-2019,Axis Liquid,STP Redemption,2040.28450,-1.22500,26.87000,-2500.00000
10-Dec-2018,Axis Liquid,STP Redemption,2027.56330,-1.23300,28.09500,-2500.00000
12-Nov-2018,Axis Liquid,STP Redemption,2015.66200,-1.24000,29.32800,-2500.00000
10-Oct-2018,Axis Liquid,STP Redemption,2002.08810,-1.24900,30.56800,-2500.00000
10-Sep-2018,Axis Liquid,STP Redemption,1990.09000,-1.25600,31.81700,-2500.00000
10-Aug-2018,Axis Liquid,STP Redemption,1978.18000,-1.26400,33.07300,-2500.00000
10-Jul-2018,Axis Liquid,STP Redemption,1966.03310,-1.27200,34.33700,-2500.00000
11-Jun-2018,Axis Liquid,STP Redemption,1954.10390,-1.27900,35.60900,-2500.00000
10-May-2018,Axis Liquid,STP Redemption,1942.03360,-1.28700,36.88800,-2500.00000
10-Apr-2018,Axis Liquid,STP Redemption,1931.35260,-1.29400,38.17500,-2500.00000
12-Mar-2018,Axis Liquid,STP Redemption,1918.77390,-1.30300,39.46900,-2500.00000
12-Feb-2018,Axis Liquid,STP Redemption,1908.63520,-1.31000,40.77200,-2500.00000
10-Jan-2018,Axis Liquid,STP Redemption,1897.28740,-1.31800,42.08200,-2500.00000
11-Dec-2017,Axis Liquid,STP Redemption,1887.09480,-1.32500,43.40000,-2500.00000
10-Nov-2017,Axis Liquid,STP Redemption,1876.93540,-1.33200,44.72500,-2500.00000
10-Oct-2017,Axis Liquid,STP Redemption,1866.74740,-1.33900,46.05700,-2500.00000
11-Sep-2017,Axis Liquid,STP Redemption,1857.10730,-1.34600,47.39600,-2500.00000
10-Aug-2017,Axis Liquid,STP Redemption,1846.75780,-1.35400,48.74200,-2500.00000
10-Jul-2017,Axis Liquid,STP Redemption,1836.48370,-1.36100,50.09600,-2500.00000
12-Jun-2017,Axis Liquid,STP Redemption,1827.06930,-1.36800,51.45700,-2500.00000
11-May-2017,Axis Liquid,STP Redemption,1816.57000,-1.37600,52.82500,-2500.00000
10-Apr-2017,Axis Liquid,STP Redemption,1806.57070,-1.38400,54.20100,-2500.00000
20-Mar-2017,Axis Liquid,Investment in fund,1799.06020,55.58500,55.58500,100000.00000
20-Jan-2020,Franklin Templeton India Focused Equity Fund,SIP Investment,45.83920,43.63100,1439.23300,2000.00000
20-Dec-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,45.27370,44.17600,1395.60200,2000.00000
20-Nov-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,45.39040,44.06200,1351.42600,2000.00000
22-Oct-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,43.28030,46.21000,1307.36400,2000.00000
20-Sep-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,42.59420,46.95500,1261.15400,2000.00000
20-Aug-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,41.08020,48.68500,1214.19900,2000.00000
22-Jul-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,44.10020,45.35100,1165.51400,2000.00000
20-Jun-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,45.10840,44.33800,1120.16300,2000.00000
20-May-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,44.70810,44.73500,1075.82500,2000.00000
22-Apr-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,44.26890,45.17800,1031.09000,2000.00000
20-Mar-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,43.43050,46.05100,985.91200,2000.00000
20-Feb-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,39.26720,50.93300,939.86100,2000.00000
21-Jan-2019,Franklin Templeton India Focused Equity Fund,SIP Investment,40.97750,48.80700,888.92800,2000.00000
20-Dec-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,40.88500,48.91800,840.12100,2000.00000
20-Nov-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,39.88200,50.14800,791.20300,2000.00000
22-Oct-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,37.22180,53.73200,741.05500,2000.00000
21-Sep-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,40.86000,48.94800,687.32300,2000.00000
20-Aug-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,42.37910,47.19300,638.37500,2000.00000
20-Jul-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,39.37030,50.80000,591.18200,2000.00000
20-Jun-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,40.41990,49.48100,540.38200,2000.00000
21-May-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,39.49150,50.64400,490.90100,2000.00000
20-Apr-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,40.21810,49.72900,440.25700,2000.00000
20-Mar-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,39.91660,50.10400,390.52800,2000.00000
20-Feb-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,41.35060,48.36700,340.42400,2000.00000
22-Jan-2018,Franklin Templeton India Focused Equity Fund,SIP Investment,44.59680,44.84600,292.05700,2000.00000
20-Dec-2017,Franklin Templeton India Focused Equity Fund,SIP Investment,43.63510,45.83500,247.21100,2000.00000
20-Nov-2017,Franklin Templeton India Focused Equity Fund,SIP Investment,42.65140,46.89200,201.37600,2000.00000
23-Oct-2017,Franklin Templeton India Focused Equity Fund,SIP Investment,39.15980,51.07300,154.48400,2000.00000
20-Sep-2017,Franklin Templeton India Focused Equity Fund,SIP Investment,39.28940,50.90400,103.41100,2000.00000
21-Aug-2017,Franklin Templeton India Focused Equity Fund,SIP Investment,38.09040,52.50700,52.50700,2000.00000
20-Jan-2020,Franklin Templeton Franklin India Smaller Companies,SIP Investment,56.57530,35.35100,1142.50400,2000.00000
