fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Standard Chartered Mutual Fund,Open Ended Schemes,Income,103600,Standard Chartered Liquidity Manager Plus-A-Dividend Monthly
Baroda Pioneer Mutual Fund,Open Ended Schemes,Income,103602,BARODA PIONEER GLOBAL FUND-Dividend
LIC Mutual Fund,Close Ended Schemes,Income,103603,LICMF Fixed Maturity Plan Series5-Dividend Option
LIC Mutual Fund,Close Ended Schemes,Income,103604,LICMF Fixed Maturity Plan Series5-Growth Option
DSP Mutual Fund,Close Ended Schemes,Income,103607,DSP BlackRock Fixed Term Plan - Series 1C-Growth
DSP Mutual Fund,Close Ended Schemes,Income,103608,DSP BlackRock Fixed Term Plan - Series 1C-Dividend
Reliance Mutual Fund,Close Ended Schemes,Income,103609,"Reliance Fixed Horizon Fund-Plan ""B"" Series-II-PLAN ""B""-Growth Option"
Reliance Mutual Fund,Close Ended Schemes,Income,103610,"Reliance Fixed Horizon Fund-Plan ""B"" Series-II-PLAN ""B""-Dividend Option"
UTI Mutual Fund,Close Ended Schemes,Income,103611,"UTI FMP Quarterly January, 2006 Series - II-Dividend Option"
UTI Mutual Fund,Close Ended Schemes,Income,103612,"UTI FMP Quarterly January, 2006 Series - II-Growth Option"
LIC Mutual Fund,Close Ended Schemes,Income,103613,LICMF Fixed Maturity Plan Series 4-Dividend Option
LIC Mutual Fund,Close Ended Schemes,Income,103614,LICMF Fixed Maturity Plan Series 4-Growth Option
SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,103616,SBI BLUE CHIP FUND- REGULAR PLAN - DIVIDEND
HSBC Mutual Fund,Close Ended Schemes,Income,103617,HSBC Fixed Term Series VI - Growth
HSBC Mutual Fund,Close Ended Schemes,Income,103618,HSBC Fixed Term Series VI - Dividend
HSBC Mutual Fund,Close Ended Schemes,Income,103619,HSBC Fixed Term Series VII - Growth
